ranker,player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
13,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,34,33,"2,768",30.8,9,2,11,8,1,1,3,0,8.5,7.7,3.8,11.5,75,48,169,0.29,0.07,0.36,0.26,0.33,0.28,0.12,0.40,0.25,0.37,Matches
14,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000,19,12,"1,090",12.1,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.7,31,66,55,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14,Matches
15,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,26,22,"1,901",21.1,7,2,9,6,1,2,4,0,10.2,8.6,1.6,10.2,34,22,164,0.33,0.09,0.43,0.28,0.38,0.48,0.07,0.56,0.41,0.48,Matches
16,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,29,29,"2,463",27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.00,0.04,0.04,0.00,0.04,0.03,0.01,0.04,0.03,0.04,Matches
17,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
18,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,28,12,"1,183",13.1,3,4,7,2,1,2,1,0,7.1,5.4,2.2,7.6,8,26,69,0.23,0.30,0.53,0.15,0.46,0.54,0.16,0.70,0.41,0.58,Matches
19,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
20,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,23,20,"1,710",19.0,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1.0,19,62,22,0.00,0.05,0.05,0.00,0.05,0.02,0.03,0.05,0.02,0.05,Matches
21,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
22,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,4,1,134,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,5,5,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
23,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,15,13,"1,075",11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44,Matches
24,Che Adams,sct SCO,FW,Torino,it Serie A,28,1996,36,30,"2,652",29.5,9,3,12,9,0,1,2,0,9.0,8.2,2.0,10.2,23,40,153,0.31,0.10,0.41,0.31,0.41,0.31,0.07,0.37,0.28,0.35,Matches
25,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,28,21,"1,965",21.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.6,14,76,10,0.00,0.14,0.14,0.00,0.14,0.07,0.05,0.12,0.07,0.12,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,2001,25,19,"1,545",17.2,2,2,4,2,0,0,5,1,5.5,5.5,2.4,7.9,8,14,84,0.12,0.12,0.23,0.12,0.23,0.32,0.14,0.46,0.32,0.46,Matches
